200;0.0191639;0.0381525;0.0577533;0.0766478;0.0958646;0.115034;0.133985;0.152908;0.172573;0.191647;
400;0.156108;0.307037;0.45292;0.601277;0.767607;0.926292;1.08682;1.25785;1.41759;1.56362;
600;0.497469;1.01166;1.49988;1.98311;2.48138;2.98323;3.48167;3.98339;4.48606;4.99021;
800;1.24437;2.50258;3.76225;5.00321;6.20757;7.39869;8.58538;9.77018;10.9616;12.1497;
1000;2.3781;4.73753;7.10833;9.47737;11.8514;14.2087;16.5758;18.9355;21.2985;23.6549;
1200;4.19312;8.39235;12.5879;16.8086;21.0138;25.2197;29.4267;33.6037;37.7723;41.9766;
1400;6.93562;13.8348;20.7652;28.3464;35.2952;42.1712;49.0599;55.9671;63.192;70.2258;
1600;18.6245;37.5326;52.6696;63.9441;75.3502;86.6604;98.0123;109.309;120.619;132.068;
1800;18.6879;36.2062;55.1049;72.7357;91.5677;109.205;127.732;145.597;163.109;180.635;
2000;40.0408;79.4498;117.56;155.922;196.597;239.033;279;317.6;356.408;395.096;
