Кол-во элементов;Среднее;Интервал
200;0.005135;(0.004930980399935698, 0.005339019600064302)
400;0.041617;(0.03982912906783734, 0.043404870932162665)
600;0.132967;(0.12766124171805776, 0.13827275828194224)
800;0.330428;(0.31956944255024494, 0.34128655744975506)
1000;0.633765;(0.6092292162987196, 0.6583007837012804)
1200;1.119969;(1.0893504440801365, 1.1505875559198635)
1400;1.862887;(1.8133067138318446, 1.9124672861681553)
1600;3.564087;(2.900554263106885, 4.227619736893115)
1800;4.862893;(4.699010418988017, 5.026775581011982)
2000;10.485079;(10.007589341303778, 10.962568658696224)
