200;22200;18200;18200;16200;16200;17200;15200;16200;15200;17
400;137400;131400;129400;125400;127400;125400;128400;127400;130400;123
600;461600;454600;467600;478600;481600;468600;483600;464600;454600;461
800;1134800;1114800;1113800;1136800;1104800;1129800;1098800;1145800;1102800;1117
1000;22431000;22311000;22251000;22591000;22081000;22071000;22661000;22671000;22621000;2266
1200;43041200;39161200;39251200;39451200;39501200;39241200;39141200;39371200;40011200;3902
1400;64181400;64111400;63631400;64251400;63741400;63981400;64241400;63911400;63961400;6340
1600;133931600;125621600;129621600;133021600;129321600;125741600;120671600;121851600;122431600;11769
1800;176701800;183971800;190061800;186771800;188651800;187251800;196111800;190781800;188581800;19389
2000;261432000;257442000;261552000;343292000;293292000;289802000;340312000;262862000;257912000;25811
